Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 3,125 mV
Zero level = 131

N 	Smpl.	Trig

0	121	0
1	121	0
2	121	0
3	121	0
4	121	0
5	121	0
6	121	0
7	121	0
8	121	0
9	121	0
10	121	0
11	121	0
12	121	0
13	121	0
14	121	0
15	121	0
16	121	0
17	121	0
18	121	0
19	121	0
20	121	0
21	121	0
22	121	0
23	121	0
24	121	0
25	121	0
26	121	0
27	121	0
28	121	0
29	121	0
30	121	0
31	121	0
32	121	0
33	121	0
34	121	0
35	121	0
36	121	0
37	121	0
38	121	0
39	121	0
40	121	0
41	121	0
42	121	0
43	121	0
44	121	0
45	121	0
46	121	0
47	121	0
48	121	0
49	121	0
50	121	0
51	121	0
52	121	0
53	121	0
54	121	0
55	121	0
56	121	0
57	121	0
58	121	0
59	121	0
60	121	0
61	121	0
62	121	0
63	121	0
64	121	0
65	121	0
66	121	0
67	121	0
68	121	0
69	121	0
70	121	0
71	121	0
72	121	0
73	121	0
74	121	0
75	121	0
76	121	0
77	121	0
78	121	0
79	121	0
80	121	0
81	121	0
82	121	0
83	120	0
84	121	0
85	121	0
86	121	0
87	121	0
88	121	0
89	121	0
90	121	0
91	121	0
92	121	0
93	121	0
94	121	0
95	121	0
96	121	0
97	121	0
98	121	0
99	121	0
100	121	0
101	121	1
102	121	1
103	121	1
104	121	1
105	121	1
106	121	1
107	121	1
108	121	1
109	121	1
110	121	1
111	121	1
112	121	1
113	121	1
114	121	1
115	121	1
116	121	1
117	121	1
118	121	1
119	121	1
120	121	1
121	121	1
122	121	1
123	121	1
124	121	1
125	121	1
126	121	1
127	121	1
128	121	1
129	121	1
130	121	1
131	121	1
132	121	1
133	121	1
134	121	1
135	121	1
136	121	1
137	121	1
138	121	1
139	121	1
140	121	1
141	121	1
142	121	1
143	121	1
144	121	1
145	121	1
146	121	1
147	121	1
148	121	1
149	121	1
150	121	1
151	121	1
152	121	1
153	121	1
154	121	1
155	127	1
156	217	1
157	230	1
158	231	1
159	231	1
160	233	1
161	233	1
162	234	1
163	233	1
164	233	1
165	234	1
166	234	1
167	235	1
168	235	1
169	235	1
170	235	1
171	235	1
172	235	1
173	235	1
174	236	1
175	236	1
176	236	1
177	237	1
178	237	1
179	237	1
180	237	1
181	238	1
182	237	1
183	237	1
184	238	1
185	238	1
186	238	1
187	238	1
188	238	1
189	239	1
190	239	1
191	239	1
192	239	1
193	239	1
194	239	1
195	240	1
196	241	1
197	241	1
198	241	1
199	241	1
200	241	1
201	241	1
202	241	1
203	241	1
204	241	1
205	241	1
206	242	1
207	242	1
208	243	1
209	242	1
210	242	1
211	243	1
212	243	1
213	243	1
214	243	1
215	243	1
216	244	1
217	243	1
218	244	1
219	244	1
220	245	1
221	245	1
222	245	1
223	245	1
224	245	1
225	245	1
226	245	1
227	245	1
228	245	1
229	245	1
230	245	1
231	245	1
232	246	1
233	246	1
234	246	1
235	246	1
236	246	1
237	246	1
238	246	1
239	247	1
240	247	1
241	247	1
242	247	1
243	247	1
244	247	1
245	220	1
246	153	1
247	127	1
248	123	1
249	123	1
250	123	1
251	123	1
252	123	1
253	121	1
254	121	1
255	121	1
256	121	1
257	121	1
258	120	1
259	121	1
260	121	1
261	121	1
262	121	1
263	121	1
264	122	1
265	121	1
266	121	1
267	121	1
268	121	1
269	121	1
270	121	1
271	121	1
272	121	1
273	121	1
274	121	1
275	121	1
276	121	1
277	121	1
278	121	1
279	121	1
280	121	1
281	121	1
282	121	1
283	121	1
284	121	1
285	121	1
286	121	1
287	121	1
288	121	1
289	121	1
290	121	1
291	121	1
292	121	1
293	121	1
294	121	1
295	121	1
296	121	1
297	121	1
298	121	1
299	122	1
300	121	1
301	121	1
302	121	1
303	121	1
304	121	1
305	121	1
306	121	1
307	121	1
308	121	1
309	121	1
310	121	1
311	121	1
312	121	1
313	121	1
314	121	1
315	121	1
316	121	1
317	121	1
318	121	1
319	121	1
320	121	1
321	121	1
322	121	1
323	121	1
324	121	1
325	121	1
326	121	1
327	121	1
328	121	1
329	121	1
330	121	1
331	121	1
332	121	1
333	121	1
334	121	1
335	121	1
336	121	1
337	121	1
338	121	1
339	121	1
340	121	1
341	121	1
342	121	1
343	121	1
344	121	1
345	121	1
346	121	1
347	121	1
348	121	1
349	121	1
350	121	1
351	121	1
352	121	1
353	121	1
354	121	1
355	121	1
356	121	1
357	121	1
358	121	1
359	121	1
360	121	1
361	121	1
362	121	1
363	121	1
364	121	1
365	121	1
366	121	1
367	121	1
368	121	1
369	121	1
370	121	1
371	121	1
372	121	1
373	121	1
374	121	1
375	121	1
376	121	1
377	121	1
378	121	1
379	121	1
380	121	1
381	121	1
382	121	1
383	121	1
384	121	1
385	121	1
386	121	1
387	121	1
388	121	1
389	121	1
390	121	1
391	121	1
392	121	1
393	121	1
394	121	1
395	121	1
396	121	1
397	121	1
398	121	1
399	121	1
400	121	1
401	121	1
402	121	1
403	121	1
404	121	1
405	121	1
406	121	1
407	121	1
408	121	1
409	121	1
410	121	1
411	121	1
412	121	1
413	121	1
414	121	1
415	121	1
416	121	1
417	121	1
418	121	1
419	121	1
420	121	1
421	121	1
422	121	1
423	121	1
424	121	1
425	121	1
426	120	1
427	121	1
428	121	1
429	121	1
430	121	1
431	121	1
432	121	1
433	121	1
434	121	1
435	121	1
436	121	1
437	121	1
438	121	1
439	121	1
440	121	1
441	121	1
442	121	1
443	121	1
444	121	1
445	121	1
446	121	1
447	121	1
448	121	1
449	121	1
450	121	1
451	121	1
452	121	1
453	121	1
454	121	1
455	121	1
456	121	1
457	121	1
458	121	1
459	121	1
460	121	1
461	121	1
462	121	1
463	121	1
464	121	1
465	121	1
466	121	1
467	121	1
468	121	1
469	121	1
470	121	1
471	121	1
472	121	1
473	121	1
474	121	1
475	121	1
476	121	1
477	121	1
478	121	1
479	121	1
480	121	1
481	121	1
482	121	1
483	121	1
484	121	1
485	121	1
486	121	1
487	121	1
488	121	1
489	121	1
490	121	1
491	121	1
492	121	1
493	121	1
494	121	1
495	121	1
496	121	1
497	121	1
498	121	1
499	121	1
500	121	1
501	121	1
502	121	1
503	121	1
504	121	1
505	121	1
506	120	1
507	121	1
