Oscilloscope data. 
Time step = 50,00 nS
Voltage step = 3,125 mV
Zero level = 131

N 	Smpl.	Trig

0	121	1
1	121	1
2	121	1
3	121	1
4	121	1
5	120	1
6	121	1
7	121	1
8	121	1
9	121	1
10	121	1
11	121	1
12	120	1
13	121	1
14	120	0
15	120	0
16	121	0
17	121	0
18	121	0
19	121	0
20	121	0
21	121	0
22	121	0
23	121	0
24	121	0
25	121	0
26	121	0
27	121	0
28	121	0
29	121	0
30	121	0
31	121	0
32	121	0
33	121	0
34	121	0
35	121	0
36	121	0
37	121	0
38	120	0
39	121	0
40	121	0
41	121	0
42	121	0
43	121	0
44	121	0
45	121	0
46	120	0
47	121	0
48	121	0
49	121	0
50	120	0
51	121	0
52	121	0
53	120	0
54	120	0
55	121	0
56	121	0
57	121	0
58	121	0
59	121	0
60	121	0
61	121	0
62	121	0
63	121	0
64	121	0
65	121	0
66	121	0
67	121	0
68	121	0
69	121	0
70	121	0
71	121	0
72	121	0
73	121	0
74	121	0
75	121	0
76	121	0
77	121	0
78	121	0
79	121	0
80	121	0
81	121	0
82	121	0
83	121	0
84	121	0
85	121	0
86	120	0
87	121	0
88	121	0
89	121	0
90	121	0
91	121	0
92	120	0
93	121	0
94	121	0
95	121	0
96	121	0
97	121	0
98	121	0
99	121	0
100	121	0
101	121	1
102	121	1
103	121	1
104	121	1
105	121	1
106	121	1
107	120	1
108	121	1
109	229	1
110	239	1
111	239	1
112	241	1
113	241	1
114	238	1
115	239	1
116	241	1
117	241	1
118	238	1
119	240	1
120	241	1
121	241	1
122	238	1
123	240	1
124	241	1
125	240	1
126	239	1
127	240	1
128	121	1
129	121	1
130	121	1
131	120	1
132	121	1
133	121	1
134	120	1
135	120	1
136	120	1
137	120	1
138	120	1
139	120	1
140	121	1
141	121	1
142	121	1
143	120	1
144	121	1
145	121	1
146	120	1
147	121	1
148	120	1
149	121	1
150	121	1
151	120	1
152	121	1
153	121	1
154	121	1
155	121	1
156	121	1
157	121	1
158	121	1
159	121	1
160	121	1
161	121	1
162	121	1
163	121	1
164	121	1
165	121	1
166	121	1
167	121	1
168	121	1
169	121	1
170	121	1
171	121	1
172	121	1
173	121	1
174	121	1
175	121	1
176	121	1
177	121	1
178	121	1
179	121	1
180	121	1
181	121	1
182	121	1
183	121	1
184	121	1
185	121	1
186	120	1
187	120	1
188	121	1
189	121	1
190	121	1
191	121	1
192	121	1
193	120	1
194	121	1
195	121	1
196	120	1
197	121	1
198	121	1
199	121	1
200	121	1
201	121	1
202	120	1
203	121	1
204	121	1
205	121	1
206	121	1
207	121	1
208	121	1
209	121	1
210	120	1
211	121	1
212	121	1
213	121	1
214	121	1
215	121	1
216	120	1
217	121	1
218	121	1
219	121	1
220	121	1
221	121	1
222	121	1
223	121	1
224	121	1
225	121	1
226	121	1
227	120	1
228	121	1
229	120	1
230	121	1
231	121	0
232	121	0
233	120	0
234	120	0
235	121	0
236	121	0
237	121	0
238	121	0
239	121	0
240	121	0
241	121	0
242	121	0
243	121	0
244	120	0
245	121	0
246	121	0
247	121	0
248	121	0
249	121	0
250	121	0
251	121	0
252	120	0
253	121	0
254	121	0
255	121	0
256	121	0
257	121	0
258	121	0
259	120	0
260	121	0
261	121	0
262	121	0
263	121	0
264	121	0
265	121	0
266	120	0
267	121	0
268	120	0
269	121	0
270	121	0
271	121	0
272	121	0
273	120	0
274	121	0
275	121	0
276	121	0
277	121	0
278	121	0
279	121	0
280	121	0
281	121	0
282	121	0
283	121	0
284	120	0
285	121	0
286	121	0
287	121	0
288	120	0
289	121	0
290	121	0
291	121	0
292	121	0
293	121	0
294	121	0
295	121	0
296	120	0
297	121	0
298	121	0
299	121	0
300	121	0
301	121	0
302	121	0
303	120	0
304	121	0
305	121	0
306	120	0
307	121	0
308	120	0
309	121	0
310	121	0
311	121	0
312	121	0
313	121	0
314	121	0
315	121	0
316	121	0
317	121	0
318	120	0
319	121	1
320	121	1
321	121	1
322	121	1
323	121	1
324	121	1
325	121	1
326	120	1
327	249	1
328	237	1
329	239	1
330	241	1
331	241	1
332	238	1
333	240	1
334	242	1
335	239	1
336	239	1
337	240	1
338	242	1
339	239	1
340	239	1
341	241	1
342	242	1
343	239	1
344	239	1
345	241	1
346	119	1
347	121	1
348	120	1
349	121	1
350	120	1
351	121	1
352	120	1
353	121	1
354	121	1
355	121	1
356	121	1
357	121	1
358	120	1
359	121	1
360	120	1
361	121	1
362	121	1
363	121	1
364	121	1
365	120	1
366	121	1
367	121	1
368	121	1
369	120	1
370	121	1
371	120	1
372	121	1
373	120	1
374	121	1
375	121	1
376	120	1
377	121	1
378	121	1
379	120	1
380	121	1
381	121	1
382	120	1
383	121	1
384	121	1
385	120	1
386	121	1
387	120	1
388	121	1
389	121	1
390	121	1
391	121	1
392	120	1
393	121	1
394	121	1
395	121	1
396	121	1
397	121	1
398	121	1
399	120	1
400	120	1
401	121	1
402	121	1
403	121	1
404	121	1
405	121	1
406	120	1
407	121	1
408	121	1
409	121	1
410	121	1
411	121	1
412	121	1
413	121	1
414	121	1
415	121	1
416	121	1
417	121	1
418	120	1
419	121	1
420	121	1
421	121	1
422	121	1
423	120	1
424	121	1
425	121	1
426	121	1
427	121	1
428	121	1
429	121	1
430	121	1
431	121	1
432	120	1
433	121	1
434	121	1
435	121	1
436	121	1
437	121	1
438	121	1
439	121	1
440	121	1
441	121	1
442	120	1
443	121	1
444	121	1
445	121	1
446	121	1
447	119	1
448	121	1
449	120	0
450	121	0
451	121	0
452	120	0
453	121	0
454	121	0
455	121	0
456	121	0
457	121	0
458	121	0
459	120	0
460	121	0
461	121	0
462	121	0
463	121	0
464	121	0
465	121	0
466	121	0
467	121	0
468	121	0
469	121	0
470	121	0
471	121	0
472	121	0
473	121	0
474	121	0
475	121	0
476	121	0
477	121	0
478	121	0
479	121	0
480	120	0
481	121	0
482	121	0
483	121	0
484	121	0
485	121	0
486	121	0
487	121	0
488	120	0
489	121	0
490	121	0
491	121	0
492	121	0
493	120	0
494	121	0
495	121	0
496	121	0
497	121	0
498	121	0
499	121	0
500	121	0
501	121	0
502	120	0
503	121	0
504	120	0
505	121	0
506	121	0
507	121	0
508	121	0
509	120	0
510	121	0
511	120	0
512	121	0
513	120	0
514	121	0
515	121	0
516	120	0
517	121	0
518	121	0
519	120	0
520	121	0
521	121	0
522	121	0
523	121	0
524	120	0
525	121	0
526	121	0
527	121	0
528	121	0
529	121	0
530	121	0
531	121	0
532	120	0
533	121	0
534	120	0
535	121	0
536	121	1
537	121	1
538	121	1
539	121	1
540	121	1
541	121	1
542	121	1
543	121	1
544	233	1
545	239	1
546	239	1
547	241	1
548	241	1
549	237	1
550	239	1
551	241	1
552	241	1
553	238	1
554	241	1
555	241	1
556	241	1
557	239	1
558	240	1
559	242	1
560	241	1
561	239	1
562	240	1
563	120	1
564	121	1
565	121	1
566	121	1
567	120	1
568	120	1
569	121	1
570	120	1
571	120	1
572	121	1
573	121	1
574	121	1
575	120	1
576	121	1
577	121	1
578	121	1
579	121	1
580	121	1
581	120	1
582	121	1
583	120	1
584	121	1
585	120	1
586	121	1
587	120	1
588	120	1
589	121	1
590	121	1
591	121	1
592	121	1
593	120	1
594	121	1
595	121	1
596	121	1
597	120	1
598	121	1
599	121	1
600	121	1
601	121	1
602	121	1
603	121	1
604	120	1
605	121	1
606	120	1
607	121	1
608	121	1
609	121	1
610	121	1
611	120	1
612	121	1
613	120	1
614	121	1
615	121	1
616	121	1
617	120	1
618	120	1
619	121	1
620	121	1
621	121	1
622	121	1
623	121	1
624	121	1
625	121	1
626	120	1
627	121	1
628	120	1
629	121	1
630	121	1
631	120	1
632	120	1
633	121	1
634	121	1
635	121	1
636	121	1
637	121	1
638	121	1
639	121	1
640	120	1
641	121	1
642	121	1
643	121	1
644	121	1
645	121	1
646	121	1
647	121	1
648	121	1
649	120	1
650	121	1
651	121	1
652	121	1
653	121	1
654	121	1
655	121	1
656	121	1
657	120	1
658	120	1
659	121	1
660	121	1
661	120	1
662	121	1
663	121	1
664	121	1
665	121	0
666	121	0
667	121	0
668	121	0
669	121	0
670	121	0
671	121	0
672	121	0
673	121	0
674	121	0
675	121	0
676	120	0
677	121	0
678	121	0
679	120	0
680	120	0
681	120	0
682	121	0
683	121	0
684	121	0
685	120	0
686	121	0
687	121	0
688	121	0
689	121	0
690	120	0
691	120	0
692	121	0
693	121	0
694	121	0
695	121	0
696	121	0
697	121	0
698	121	0
699	121	0
700	121	0
701	121	0
702	121	0
703	121	0
704	121	0
705	121	0
706	121	0
707	121	0
708	121	0
709	121	0
710	121	0
711	121	0
712	121	0
713	121	0
714	121	0
715	121	0
716	121	0
717	121	0
718	120	0
719	121	0
720	121	0
721	121	0
722	121	0
723	121	0
724	121	0
725	121	0
726	120	0
727	121	0
728	121	0
729	121	0
730	121	0
731	121	0
732	121	0
733	121	0
734	121	0
735	121	0
736	120	0
737	121	0
738	121	0
739	121	0
740	121	0
741	121	0
742	121	0
743	121	0
744	121	0
745	120	0
746	121	0
747	121	0
748	121	0
749	121	0
750	121	0
751	120	0
752	121	0
753	121	1
754	121	1
755	121	1
