Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 51

N 	Smpl.	Trig

0	167	0
1	129	0
2	85	0
3	56	0
4	53	0
5	79	0
6	120	0
7	160	0
8	179	0
9	169	0
10	133	0
11	89	0
12	58	0
13	52	0
14	75	0
15	116	0
16	157	0
17	178	0
18	171	0
19	137	0
20	95	0
21	59	0
22	51	0
23	72	0
24	112	0
25	154	0
26	177	0
27	172	0
28	141	0
29	98	0
30	62	0
31	51	0
32	69	0
33	108	0
34	150	0
35	177	0
36	174	0
37	145	0
38	102	0
39	65	0
40	50	0
41	66	0
42	105	0
43	147	0
44	175	0
45	175	0
46	148	0
47	106	0
48	67	0
49	51	0
50	63	0
51	101	0
52	143	0
53	173	0
54	177	0
55	151	0
56	110	0
57	69	0
58	51	0
59	61	0
60	97	0
61	140	0
62	172	0
63	177	0
64	155	0
65	113	0
66	73	0
67	51	0
68	59	0
69	93	0
70	136	0
71	170	0
72	179	0
73	157	0
74	117	0
75	76	0
76	52	0
77	57	0
78	89	0
79	133	0
80	167	0
81	179	0
82	161	0
83	122	0
84	79	0
85	52	0
86	55	0
87	85	0
88	129	0
89	165	0
90	179	0
91	164	0
92	126	0
93	83	0
94	54	0
95	55	0
96	81	0
97	124	0
98	163	0
99	179	0
100	167	0
101	129	0
102	86	0
103	56	0
104	53	0
105	79	0
106	120	0
107	159	0
108	179	0
109	169	0
110	133	0
111	90	0
112	58	0
113	52	0
114	75	0
115	116	0
116	157	0
117	178	0
118	171	0
119	137	0
120	95	0
121	59	0
122	51	0
123	72	0
124	112	0
125	154	0
126	177	0
127	172	0
128	140	0
129	97	0
130	62	0
131	51	0
132	69	0
133	109	0
134	151	0
135	176	0
136	175	0
137	145	0
138	101	0
139	64	0
140	51	0
141	66	0
142	105	0
143	147	0
144	175	0
145	175	0
146	148	0
147	106	0
148	67	0
149	50	0
150	63	0
151	101	0
152	143	0
153	173	0
154	177	0
155	151	0
156	110	0
157	70	0
158	51	0
159	61	0
160	96	0
161	140	0
162	172	0
163	178	0
164	155	0
165	113	0
166	73	0
167	51	0
168	59	0
169	93	0
170	136	0
171	170	0
172	179	0
173	158	0
174	118	0
175	76	0
176	52	0
177	57	0
178	89	0
179	133	0
180	167	0
181	179	0
182	161	0
183	122	0
184	79	0
185	53	0
186	55	0
187	85	0
188	129	0
189	166	0
190	179	0
191	164	0
192	125	0
193	83	0
194	54	0
195	53	0
196	82	0
197	124	0
198	163	0
199	179	0
200	166	0
201	129	0
202	87	0
203	56	0
204	53	0
205	79	0
206	120	0
207	160	0
208	179	0
209	169	0
210	133	0
211	89	0
212	58	0
213	51	0
214	75	0
215	116	0
216	157	0
217	179	0
218	171	0
219	137	0
220	94	0
221	60	0
222	51	0
223	72	0
224	112	0
225	154	0
226	178	0
227	172	0
228	141	0
229	97	0
230	62	0
231	50	0
232	69	0
233	107	0
234	150	0
235	177	0
236	174	0
237	145	0
238	101	0
239	64	0
240	50	0
241	67	0
242	105	0
243	147	0
244	175	0
245	175	0
246	148	0
247	105	0
248	67	0
249	50	0
250	63	0
251	100	0
252	143	0
253	173	0
254	177	0
255	151	0
256	110	0
257	70	0
258	51	0
259	61	0
260	97	0
261	140	0
262	171	0
263	178	0
264	155	0
265	113	0
266	72	0
267	52	0
268	59	0
269	93	0
270	136	0
271	169	0
272	179	0
273	158	0
274	117	0
275	76	0
276	53	0
277	57	0
278	89	0
279	133	0
280	168	0
281	179	0
282	161	0
283	121	0
284	79	0
285	53	0
286	56	0
287	85	0
288	128	0
289	165	0
290	179	0
291	163	0
292	125	0
293	83	0
294	55	0
295	54	0
296	82	0
297	124	0
298	163	0
299	179	0
300	166	0
301	130	0
302	86	0
303	56	0
304	53	0
305	78	0
306	120	0
307	160	0
308	179	0
309	168	0
310	134	0
311	90	0
312	58	0
313	52	0
314	75	0
315	116	0
316	157	0
317	179	0
318	170	0
319	137	0
320	95	0
321	60	0
322	51	0
323	72	0
324	112	0
325	154	0
326	177	0
327	173	0
328	141	0
329	98	0
330	62	0
331	51	0
332	69	0
333	109	0
334	151	0
335	177	0
336	174	0
337	144	0
338	102	0
339	65	0
340	50	0
341	67	0
342	105	0
343	147	0
344	175	0
345	175	0
346	148	0
347	105	0
348	67	0
349	51	0
350	63	0
351	101	0
352	143	0
353	173	0
354	177	0
355	151	0
356	110	0
357	70	0
358	51	0
359	61	0
360	96	0
361	139	0
362	171	0
363	177	0
364	155	0
365	113	0
366	73	0
367	51	0
368	59	0
369	92	0
370	136	0
371	170	0
372	179	0
373	158	0
374	117	0
375	76	0
376	53	0
377	57	0
378	89	0
379	133	0
380	167	0
381	179	0
382	160	0
383	121	0
384	79	0
385	53	0
386	55	0
387	85	0
388	128	0
389	165	0
390	179	0
391	163	0
392	127	0
393	83	0
394	55	0
395	54	0
396	82	0
397	124	0
398	163	0
399	179	0
400	166	0
401	129	0
402	86	0
403	56	0
404	53	0
405	79	0
406	120	0
407	160	0
408	179	0
409	169	0
410	133	0
411	90	0
412	58	0
413	52	0
414	75	0
415	117	0
416	157	0
417	178	0
418	171	0
419	137	0
420	93	0
421	60	0
422	51	0
423	72	0
424	112	0
425	155	0
426	178	0
427	172	0
428	140	0
429	98	0
430	62	0
431	51	0
432	69	0
433	108	0
434	151	0
435	176	0
436	174	0
437	145	0
438	101	0
439	65	0
440	50	0
441	67	0
442	104	0
443	147	0
444	175	0
445	175	0
446	148	0
447	105	0
448	67	0
449	51	0
450	63	0
451	101	0
452	143	0
453	174	0
454	177	0
455	151	0
456	110	0
457	71	0
458	51	0
459	61	0
460	97	0
461	140	0
462	171	0
463	177	0
464	155	0
465	113	0
466	73	0
467	52	0
468	59	0
469	93	0
470	136	0
471	169	0
472	179	0
473	157	0
474	118	0
475	77	0
476	53	0
477	57	0
478	88	0
479	132	0
480	167	0
481	179	0
482	161	0
483	121	0
484	79	0
485	53	0
486	55	0
487	84	0
488	128	0
489	165	0
490	179	0
491	163	0
492	126	0
493	83	0
494	55	0
495	54	0
496	82	0
497	125	0
498	163	0
499	179	0
500	167	0
501	129	0
502	86	0
503	56	0
504	53	0
505	79	0
506	121	0
507	160	0
508	179	0
509	169	0
510	133	0
511	89	0
512	58	0
513	51	0
514	75	0
515	117	0
516	157	0
517	178	0
518	171	0
519	137	0
520	95	0
521	60	0
522	51	0
523	72	0
524	112	0
525	154	0
526	178	0
527	173	0
528	141	0
529	97	0
530	62	0
531	50	0
532	69	0
533	109	0
534	150	0
535	177	0
536	174	0
537	145	0
538	102	0
539	64	0
540	51	0
541	67	0
542	105	0
543	147	0
544	175	0
545	176	0
546	148	0
547	106	0
548	67	0
549	51	0
550	64	0
551	100	0
552	143	0
553	173	0
554	177	0
555	152	0
556	110	0
557	71	0
558	51	0
559	62	0
560	97	0
561	140	0
562	171	0
563	178	0
564	155	0
565	113	0
566	73	0
567	52	0
568	59	0
569	93	0
570	136	0
571	170	0
572	179	0
573	158	0
574	118	0
575	77	0
576	53	0
577	58	0
578	89	0
579	133	0
580	167	0
581	179	0
582	161	0
583	121	0
584	79	0
585	53	0
586	55	0
587	85	0
588	129	0
589	166	0
590	179	0
591	164	0
592	126	0
593	83	0
594	54	0
595	55	0
596	83	0
597	125	0
598	163	0
599	179	0
600	167	0
601	129	0
602	86	0
603	55	0
604	53	0
605	79	0
606	121	0
607	160	0
608	179	0
609	169	0
610	133	0
611	89	0
612	58	0
613	51	0
614	75	0
615	116	0
616	157	0
617	178	0
618	170	0
619	137	0
620	93	0
621	59	0
622	51	0
623	73	0
