Oscilloscope data. 
Time step = 100,0 nS
Voltage step = 31,25 mV
Zero level = 51

N 	Smpl.	Trig

0	51	0
1	51	0
2	51	0
3	51	0
4	51	0
5	51	0
6	51	0
7	52	0
8	51	0
9	51	0
10	51	0
11	51	0
12	51	0
13	51	0
14	51	0
15	51	0
16	51	0
17	51	0
18	51	0
19	51	0
20	51	0
21	51	0
22	51	0
23	51	0
24	51	0
25	51	0
26	51	0
27	51	0
28	51	0
29	51	0
30	51	0
31	51	0
32	51	0
33	51	0
34	79	0
35	177	0
36	179	0
37	179	0
38	179	0
39	180	0
40	179	0
41	180	0
42	179	0
43	180	0
44	151	0
45	53	0
46	51	0
47	51	0
48	51	0
49	51	0
50	51	0
51	51	0
52	51	0
53	51	0
54	52	0
55	51	0
56	51	0
57	51	0
58	51	0
59	51	0
60	51	0
61	51	0
62	51	0
63	51	0
64	51	0
65	51	0
66	51	0
67	51	0
68	51	0
69	51	0
70	51	0
71	51	0
72	51	0
73	51	0
74	51	0
75	51	0
76	51	0
77	51	0
78	51	0
79	51	0
80	51	0
81	51	0
82	51	0
83	51	0
84	51	0
85	51	0
86	51	0
87	51	0
88	51	0
89	51	0
90	51	0
91	51	0
92	51	0
93	51	0
94	51	0
95	51	0
96	51	0
97	51	0
98	51	0
99	51	0
100	51	0
101	51	0
102	51	0
103	51	0
104	51	0
105	51	0
106	51	0
107	51	0
108	51	0
109	51	0
110	51	0
111	51	0
112	51	0
113	51	0
114	79	0
115	177	0
116	179	0
117	179	0
118	179	0
119	180	0
120	179	0
121	180	0
122	180	0
123	180	0
124	152	0
125	53	0
126	51	0
127	51	0
128	51	0
129	51	0
130	51	0
131	51	0
132	51	0
133	51	0
134	51	0
135	51	0
136	51	0
137	51	0
138	51	0
139	51	0
140	51	0
141	51	0
142	51	0
143	51	0
144	51	0
145	51	0
146	51	0
147	51	0
148	51	0
149	51	0
150	51	0
151	51	0
152	51	0
153	51	0
154	51	0
155	51	0
156	51	0
157	51	0
158	51	0
159	51	0
160	51	0
161	51	0
162	51	0
163	51	0
164	51	0
165	51	0
166	51	0
167	51	0
168	51	0
169	51	0
170	51	0
171	51	0
172	51	0
173	51	0
174	51	0
175	51	0
176	51	0
177	51	0
178	51	0
179	51	0
180	51	0
181	50	0
182	51	0
183	51	0
184	51	0
185	51	0
186	51	0
187	51	0
188	51	0
189	51	0
190	51	0
191	51	0
192	51	0
193	51	0
194	79	0
195	177	0
196	180	0
197	180	0
198	180	0
199	180	0
200	180	0
201	180	0
202	179	0
203	179	0
204	151	0
205	52	0
206	51	0
207	50	0
208	51	0
209	51	0
210	51	0
211	51	0
212	51	0
213	51	0
214	51	0
215	51	0
216	51	0
217	51	0
218	51	0
219	51	0
220	51	0
221	51	0
222	51	0
223	51	0
224	51	0
225	51	0
226	51	0
227	51	0
228	51	0
229	51	0
230	51	0
231	51	0
232	51	0
233	51	0
234	51	0
235	51	0
236	51	0
237	51	0
238	51	0
239	51	0
240	51	0
241	51	0
242	51	0
243	51	0
244	51	0
245	51	0
246	51	0
247	51	0
248	52	0
249	51	0
250	51	0
251	51	0
252	51	0
253	51	0
254	51	0
255	51	0
256	51	0
257	51	0
258	51	0
259	51	0
260	51	0
261	51	0
262	51	0
263	51	0
264	51	0
265	51	0
266	51	0
267	51	0
268	51	0
269	51	0
270	51	0
271	51	0
272	51	0
273	51	0
274	79	0
275	177	0
276	180	0
277	180	0
278	180	0
279	179	0
280	180	0
281	180	0
282	180	0
283	179	0
284	152	0
285	53	0
286	52	0
287	51	0
288	51	0
289	51	0
290	51	0
291	51	0
292	51	0
293	51	0
294	51	0
295	51	0
296	51	0
297	51	0
298	51	0
299	51	0
300	51	0
301	51	0
302	51	0
303	51	0
304	51	0
305	51	0
306	51	0
307	51	0
308	51	0
309	51	0
310	51	0
311	51	0
312	51	0
313	51	0
314	51	0
315	51	0
316	52	0
317	51	0
318	51	0
319	51	0
320	51	0
321	51	0
322	51	0
323	51	0
324	51	0
325	51	0
326	51	0
